"";"id_url";"url";"url2";"data";"titulo";"empresa1";"empresa2";"empresa3";"empresa4";"empresa5";"ticker1";"ticker2";"ticker3";"ticker4";"ticker5";"peso1";"peso2";"peso3";"peso4";"peso5";"data_temp";"data_hora";"dia";"mes";"ano";"data_completa";"fonte_noticia";"id_noticia";"url_noticia";"data_noticia";"id_carteira";"data_carteira";"validade_carteira";"corretora"
"11";11;"https://www.moneytimes.com.br/xp-indica-3-novas-acoes-na-carteira-semanal-confira-o-portfolio/";"""https://www.moneytimes.com.br/xp-indica-3-novas-acoes-na-carteira-semanal-confira-o-portfolio/""";"03/04/2021 - 9:12";"XP indica 3 novas ações na carteira semanal; confira o portfólio";"B3";"BTG Pactual";"Lojas Americanas";"Totvs";"Minerva";"B3SA3";"BPAC11";"LAME4";"TOTS3";"BEEF3";"20";"20";"20";"20";"20";"03/04/2021";2021-04-03;"03";"04";"2021";"03-04-2021";"Money Times";11;"https://www.moneytimes.com.br/xp-indica-3-novas-acoes-na-carteira-semanal-confira-o-portfolio/";2021-04-03;11;2021-04-03;2021-04-08;"XP INVESTIMENTOS CCTVM S/A"
"12";12;"https://www.moneytimes.com.br/terra-faz-troca-estrategica-de-sabesp-por-totvs-em-carteira-semanal-veja-as-5-acoes/";"""https://www.moneytimes.com.br/terra-faz-troca-estrategica-de-sabesp-por-totvs-em-carteira-semanal-veja-as-5-acoes/""";"01/04/2021 - 12:54";"Terra faz “troca estratégica” de Sabesp por Totvs em carteira semanal; veja as 5 ações";"B3";"BB Seguridade";"Itaúsa";"Totvs";"Via Varejo";"B3SA3";"BBSE3";"ITSA4";"TOTS3";"VVAR3";"20";"20";"20";"20";"20";"01/04/2021";2021-04-01;"01";"04";"2021";"01-04-2021";"Money Times";12;"https://www.moneytimes.com.br/terra-faz-troca-estrategica-de-sabesp-por-totvs-em-carteira-semanal-veja-as-5-acoes/";2021-04-01;12;2021-04-01;2021-04-06;"TERRA INVESTIMENTOS DTVM LTDA"
"13";13;"https://www.moneytimes.com.br/carteira-da-terra-continua-melhor-que-o-ibovespa-e-acoes-permanecem-veja-as-5-indicadas/";"""https://www.moneytimes.com.br/carteira-da-terra-continua-melhor-que-o-ibovespa-e-acoes-permanecem-veja-as-5-indicadas/""";"26/03/2021 - 12:13";"Carteira da Terra continua melhor que o Ibovespa, e ações permanecem; veja as 5 indicadas";"B3";"BB Seguridade";"Itaúsa";"Sabesp";"Via Varejo";"B3SA3";"BBSE3";"ITSA4";"SBSP3";"VVAR3";"20";"20";"20";"20";"20";"26/03/2021";2021-03-26;"26";"03";"2021";"26-03-2021";"Money Times";13;"https://www.moneytimes.com.br/carteira-da-terra-continua-melhor-que-o-ibovespa-e-acoes-permanecem-veja-as-5-indicadas/";2021-03-26;13;2021-03-26;2021-03-31;"TERRA INVESTIMENTOS DTVM LTDA"
"14";14;"https://www.moneytimes.com.br/elite-refaz-carteira-recomendada-semanal-veja-as-cinco-novidades/";"""https://www.moneytimes.com.br/elite-refaz-carteira-recomendada-semanal-veja-as-cinco-novidades/""";"25/04/2021 - 11:58";"Elite refaz carteira recomendada semanal; veja as cinco novidades";"Banco Inter";"Natura";"Porto Seguro";"Sanepar";"Vale";"BIDI11";"NTCO3";"PSSA3";"SAPR11";"VALE3";"20";"20";"20";"20";"20";"25/04/2021";2021-04-25;"25";"04";"2021";"25-04-2021";"Money Times";14;"https://www.moneytimes.com.br/elite-refaz-carteira-recomendada-semanal-veja-as-cinco-novidades/";2021-04-25;14;2021-04-25;2021-04-30;"ELITE CCVM LTDA"
"15";15;"https://www.moneytimes.com.br/mycap-escala-tres-novas-acoes-em-carteira-recomendada-semanal-veja-quais/";"""https://www.moneytimes.com.br/mycap-escala-tres-novas-acoes-em-carteira-recomendada-semanal-veja-quais/""";"23/04/2021 - 21:36";"MyCap escala três novas ações em carteira recomendada semanal; veja quais";"Natura";"Cyrela";"Movida";"Via Varejo";"Bradesco";"NTCO3";"CYRE3";"MOVI3";"VVAR3";"BBDC4";"20";"20";"20";"20";"20";"23/04/2021";2021-04-23;"23";"04";"2021";"23-04-2021";"Money Times";15;"https://www.moneytimes.com.br/mycap-escala-tres-novas-acoes-em-carteira-recomendada-semanal-veja-quais/";2021-04-23;15;2021-04-23;2021-04-28;"ICAP DO BRASIL CTVM LTDA"
"16";16;"https://www.moneytimes.com.br/carteira-semanal-rende-o-triplo-do-ibovespa-mas-terra-espera-mais-veja-as-acoes/";"""https://www.moneytimes.com.br/carteira-semanal-rende-o-triplo-do-ibovespa-mas-terra-espera-mais-veja-as-acoes/""";"19/03/2021 - 16:46";"Carteira semanal rende o triplo do Ibovespa, mas Terra quer mais; veja as ações";"B3";"BB Seguridade";"Itaúsa";"Sabesp";"Via Varejo";"B3SA3";"BBSE3";"ITSA4";"SBSP3";"VVAR3";"20";"20";"20";"20";"20";"19/03/2021";2021-03-19;"19";"03";"2021";"19-03-2021";"Money Times";16;"https://www.moneytimes.com.br/carteira-semanal-rende-o-triplo-do-ibovespa-mas-terra-espera-mais-veja-as-acoes/";2021-03-19;16;2021-03-19;2021-03-24;"TERRA INVESTIMENTOS DTVM LTDA"
"17";17;"https://www.moneytimes.com.br/btg-troca-weg-e-brasil-agro-por-gol-e-sao-martinho-na-carteira-da-semana/";"""https://www.moneytimes.com.br/btg-troca-weg-e-brasil-agro-por-gol-e-sao-martinho-na-carteira-da-semana/""";"25/04/2021 - 15:47";"BTG troca Weg e Brasil Agro por Gol e São Martinho na carteira da semana";"Equatorial";"Rumo";"Gol";"São Martinho";"Vale";"EQTL3";"RAIL3";"GOLL4";"SMTO3";"VALE3";"20";"20";"20";"20";"20";"25/04/2021";2021-04-25;"25";"04";"2021";"25-04-2021";"Money Times";17;"https://www.moneytimes.com.br/btg-troca-weg-e-brasil-agro-por-gol-e-sao-martinho-na-carteira-da-semana/";2021-04-25;17;2021-04-25;2021-04-30;"BTG PACTUAL CTVM S/A"
"18";18;"https://www.moneytimes.com.br/xp-bate-ibovespa-e-troca-uma-acao-em-carteira-recomendada-semanal/";"""https://www.moneytimes.com.br/xp-bate-ibovespa-e-troca-uma-acao-em-carteira-recomendada-semanal/""";"09/04/2021 - 21:07";"XP troca uma ação em carteira recomendada semanal após bater Ibovespa";"B3";"BTG Pactual";"Klabin";"Totvs";"Minerva";"B3SA3";"BPAC11";"KLBN11";"TOTS3";"BEEF3";"20";"20";"20";"20";"20";"09/04/2021";2021-04-09;"09";"04";"2021";"09-04-2021";"Money Times";18;"https://www.moneytimes.com.br/xp-bate-ibovespa-e-troca-uma-acao-em-carteira-recomendada-semanal/";2021-04-09;18;2021-04-09;2021-04-14;"XP INVESTIMENTOS CCTVM S/A"
"19";19;"https://www.moneytimes.com.br/terra-troca-marfrig-e-tim-por-bb-seguridade-e-sabesp-em-carteira-semanal/";"""https://www.moneytimes.com.br/terra-troca-marfrig-e-tim-por-bb-seguridade-e-sabesp-em-carteira-semanal/""";"12/03/2021 - 19:25";"Terra troca Marfrig e Tim por BB Seguridade e Sabesp em carteira semanal";"B3";"Itaúsa";"BB Seguridade";"Sabesp";"Via Varejo";"B3SA3";"ITSA4";"BBSE3";"SBSP3";"VVAR3";"20";"20";"20";"20";"20";"12/03/2021";2021-03-12;"12";"03";"2021";"12-03-2021";"Money Times";19;"https://www.moneytimes.com.br/terra-troca-marfrig-e-tim-por-bb-seguridade-e-sabesp-em-carteira-semanal/";2021-03-12;19;2021-03-12;2021-03-17;"TERRA INVESTIMENTOS DTVM LTDA"
"20";20;"https://www.moneytimes.com.br/btg-pactual-realiza-duas-trocas-na-carteira-recomendada-semanal-veja/";"""https://www.moneytimes.com.br/btg-pactual-realiza-duas-trocas-na-carteira-recomendada-semanal-veja/""";"08/03/2021 - 7:31";"BTG Pactual realiza duas trocas na carteira recomendada semanal; veja";"Cosan";"Vale";"Suzano";"Embraer";"Enauta";"CSAN3";"VALE3";"SUZB3";"EMBR3";"ENAT3";"20";"20";"20";"20";"20";"08/03/2021";2021-03-08;"08";"03";"2021";"08-03-2021";"Money Times";20;"https://www.moneytimes.com.br/btg-pactual-realiza-duas-trocas-na-carteira-recomendada-semanal-veja/";2021-03-08;20;2021-03-08;2021-03-13;"BTG PACTUAL CTVM S/A"
