id_url;url;url2
29;https://www.moneytimes.com.br/xp-so-mantem-uma-acao-em-carteira-recomendada-semanal-veja-qual/;"""https://www.moneytimes.com.br/xp-so-mantem-uma-acao-em-carteira-recomendada-semanal-veja-qual/"""
30;https://www.moneytimes.com.br/meliuz-entra-nas-recomendacoes-da-carteira-semanal-da-guide/;"""https://www.moneytimes.com.br/meliuz-entra-nas-recomendacoes-da-carteira-semanal-da-guide/"""
31;https://www.moneytimes.com.br/carteira-semanal-da-necton-ganha-3-novas-acoes-veja-as-novidades/;"""https://www.moneytimes.com.br/carteira-semanal-da-necton-ganha-3-novas-acoes-veja-as-novidades/"""
32;https://www.moneytimes.com.br/elite-troca-notre-dame-por-b2w-em-carteira-que-ja-rendeu-849-em-fevereiro/;"""https://www.moneytimes.com.br/elite-troca-notre-dame-por-b2w-em-carteira-que-ja-rendeu-849-em-fevereiro/"""
33;https://www.moneytimes.com.br/rede-dor-e-embraer-sao-as-novas-apostas-da-carteira-semanal-da-ativa/;"""https://www.moneytimes.com.br/rede-dor-e-embraer-sao-as-novas-apostas-da-carteira-semanal-da-ativa/"""
34;https://www.moneytimes.com.br/xp-troca-duas-acoes-em-carteira-semanal-veja-o-portfolio/;"""https://www.moneytimes.com.br/xp-troca-duas-acoes-em-carteira-semanal-veja-o-portfolio/"""
35;https://www.moneytimes.com.br/btg-bate-o-ibovespa-na-semana-e-troca-apenas-uma-acao-na-carteira-recomendada/;"""https://www.moneytimes.com.br/btg-bate-o-ibovespa-na-semana-e-troca-apenas-uma-acao-na-carteira-recomendada/"""
36;https://www.moneytimes.com.br/so-magazine-luiza-sobrevive-em-carteira-recomendada-semanal-da-mycap/;"""https://www.moneytimes.com.br/so-magazine-luiza-sobrevive-em-carteira-recomendada-semanal-da-mycap/"""
37;https://www.moneytimes.com.br/mycap-troca-maioria-das-acoes-da-carteira-semanal-veja-as-novidades/;"""https://www.moneytimes.com.br/mycap-troca-maioria-das-acoes-da-carteira-semanal-veja-as-novidades/"""
38;https://www.moneytimes.com.br/xp-troca-dois-papeis-em-carteira-recomendada-semanal-veja-quais/;"""https://www.moneytimes.com.br/xp-troca-dois-papeis-em-carteira-recomendada-semanal-veja-quais/"""
39;https://www.moneytimes.com.br/necton-refaz-aposta-nas-acoes-da-vale-em-sua-carteira-semanal/;"""https://www.moneytimes.com.br/necton-refaz-aposta-nas-acoes-da-vale-em-sua-carteira-semanal/"""
40;https://www.moneytimes.com.br/mycap-indica-3-novas-acoes-na-carteira-semanal/;"""https://www.moneytimes.com.br/mycap-indica-3-novas-acoes-na-carteira-semanal/"""
41;https://www.moneytimes.com.br/ativa-substitui-tres-acoes-na-carteira-recomendada-da-semana/;"""https://www.moneytimes.com.br/ativa-substitui-tres-acoes-na-carteira-recomendada-da-semana/"""
42;https://www.moneytimes.com.br/btg-troca-vale-e-suzano-por-taurus-e-bradesco-na-carteira-da-semana/;"""https://www.moneytimes.com.br/btg-troca-vale-e-suzano-por-taurus-e-bradesco-na-carteira-da-semana/"""
43;https://www.moneytimes.com.br/xp-faz-tres-alteracoes-em-carteira-recomendada-semanal-veja-o-que-muda/;"""https://www.moneytimes.com.br/xp-faz-tres-alteracoes-em-carteira-recomendada-semanal-veja-o-que-muda/"""
44;https://www.moneytimes.com.br/btg-faz-3-alteracoes-na-carteira-semanal/;"""https://www.moneytimes.com.br/btg-faz-3-alteracoes-na-carteira-semanal/"""
