id_setorial;empresa_listagem;codigo_listagem;segmento_listagem;setor_economico;subsetor;segmento
426;CEPAC - CTBA;CTBA;MB             ;Financeiro;Outros Títulos;Outros Títulos
427;CEPAC - MCRJ;MCRJ;MB             ;Financeiro;Outros Títulos;Outros Títulos
428;CEPAC - PMSP;PMSP;MB             ;Financeiro;Outros Títulos;Outros Títulos
429;524 PARTICIP;QVQP;MB             ;Outros;Outros;Outros
430;ALEF S/A    ;ALEF;MB             ;Outros;Outros;Outros
431;ATOMPAR;ATOM;;Outros;Outros;Outros
432;BETAPART    ;BETP;MB             ;Outros;Outros;Outros
433;CABINDA PART;CABI;MB             ;Outros;Outros;Outros
434;CACONDE PART;CACO;MB             ;Outros;Outros;Outros
435;CEMEPE      ;MAPT;;Outros;Outros;Outros
436;CIMS        ;CMSA;;Outros;Outros;Outros
437;GAMA PART   ;OPGM;MB             ;Outros;Outros;Outros
438;INVEST BEMGE;FIGE;;Outros;Outros;Outros
439;J B DUARTE  ;JBDU;;Outros;Outros;Outros
440;MGI PARTICIP;MGIP;;Outros;Outros;Outros
441;OPPORT ENERG;OPHE;MB             ;Outros;Outros;Outros
442;POLPAR      ;PPAR;;Outros;Outros;Outros
443;PROMPT PART ;PRPT;MB             ;Outros;Outros;Outros
444;SUDESTE S/A ;OPSE;MB             ;Outros;Outros;Outros
445;SUL 116 PART;OPTS;MB             ;Outros;Outros;Outros
